ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Esfuerzo Relativo,Desplazamiento al trabajo,Equipación de la actividad,Nombre del archivo
2238280588,24 mar. 2019 8:34:49,Granátula - Moral - Torralba,Bicicleta,,12025,88.39,,false,,activities/2383571246.gpx.gz
2238299794,18 mar. 2019 16:14:11,Tarde de zurdilla,Bicicleta,Campo Mojado - Carrión,9183,52.39,,false,,activities/2383571041.gpx.gz
2254827015,29 mar. 2019 16:16:10,Tarde de zurdilla,Bicicleta,Campo Mojado - Torralba,9052,64.08,,false,,activities/2400772511.gpx.gz
2254827389,31 mar. 2019 8:14:49,Fuente Fresno - Villarrubia - Daimiel,Bicicleta,,11810,99.07,,false,,activities/2400772808.gpx.gz
2254834998,25 mar. 2019 16:16:20,Tarde de zurdilla,Bicicleta,Carrión - Torralba - Autovia,8530,54.10,,false,,activities/2400772979.gpx.gz
2254835081,27 mar. 2019 16:21:34,Tarde de zurdilla,Bicicleta,Encarnación - Carrión - Cno. Turrillo,8715,51.98,,false,,activities/2400773231.gpx.gz
2258101659,1 abr. 2019 15:18:12,Daimiel - Bolaños - Almagro,Bicicleta,Aguacero desde Pozuelo,9348,80.13,,false,,activities/2404191896.gpx.gz
2267236622,5 abr. 2019 15:27:24,Tarde huracanada,Bicicleta,,6186,50.15,,false,,activities/2413615939.gpx.gz
2275304576,8 abr. 2019 15:28:55,Cruce Porzuna - Piedrabuena - Antenas,Bicicleta,Tarde Ventosa,9730,76.38,,false,,activities/2422086083.gpx.gz
2280146903,10 abr. 2019 15:21:36,Tarde de Zurdilla - Atalaya,Bicicleta,Lluvia y granizo,7632,50.33,,false,,activities/2427107705.gpx.gz
2313264857,22 abr. 2019 15:24:39,Picón - Alcolea - Corral,Bicicleta,Después de vacaciones,8736,67.95,,false,,activities/2461703709.gpx.gz
2323189221,26 abr. 2019 15:24:40,Tarde de Zurdilla,Bicicleta,,8673,60.17,,false,,activities/2472078976.gpx.gz
2323190430,24 abr. 2019 15:31:57,Tarde de Zurdilla,Bicicleta,Atalaya - refugio del viento,9762,55.33,,false,,activities/2472079164.gpx.gz
2325619924,28 abr. 2019 8:09:43,Molemocho,Bicicleta,,13499,98.18,,false,,activities/2474638393.gpx.gz
2330328298,30 abr. 2019 7:53:29,Cruce de Urda,Bicicleta,,13570,112.34,,false,,activities/2479557246.gpx.gz
2333108955,1 may. 2019 8:45:42,Cruce Porzuna - Piedrabuena,Bicicleta,,7242,61.75,,false,,activities/2482446079.gpx.gz
2335977691,2 may. 2019 7:23:35,Descanso activo,Bicicleta,Fuente el Fresno - Villarrubia,12381,100.55,,false,,activities/2485451161.gpx.gz
2345037795,5 may. 2019 8:05:45,Las Povedillas,Bicicleta,,12153,99.44,,false,,activities/2494926257.gpx.gz
2347242691,6 may. 2019 15:25:27,Tarde de Zurdilla,Bicicleta,Alcolea,11466,69.21,,false,,activities/2497241143.gpx.gz
2356907529,10 may. 2019 15:31:56,Tarde de Zurdilla,Bicicleta,Pinos Altos,9671,64.27,,false,,activities/2507245556.gpx.gz
2362420860,12 may. 2019 8:09:31,Villarrubia,Bicicleta,,13173,96.09,,false,,activities/2512995107.gpx.gz
